UPC,Item Name,Brand,Domestic Vendors,Vendor Names,Min Price,Avg Price
8054754400533,"D&G DEVOTION EDP 3.4oz+TS+MINI",N/A,7,"BS, Classic, Haz, PWW, Perfume Center, Perfume Center Sets, QFG",49,55.71
3386460141703,"I WANT CHOO LE PARFUM BY JIMMY CHOO(L) 3.3 OZ EDP SP",N/A,7,"BS, CBS, Cosmo, Fragrance Depot, Gift Express, Montroyal, Perfume Price",50.25,58.30
3349668628681,"PACO RABANNE INVICTUS M 2PCSET 3.4 EDT SPRAY / 20ML EDT SPRAY *PICTURE BOX* ",N/A,7,"BS, Classic, ET, Montroyal, Nandansons, TJS, Yossi",54,59.33
8011003893317,"VERSACE CRYSTAL NOIR L 4PCSET 3.4 *EDP* SPRAY / 3.4 BL / 3.4 SGEL / DESIGNER POUCH *DISPLAY BOX*",N/A,7,"BS, CBS, Classic, Montroyal, PWW, Perfume Center, Perfume Center Sets",53,57.57
3616302779994,"Marc Jacobs Perfect Intense 3.4 OZ EDP SP",N/A,7,"BS, Classic, Fragrance Depot, MTZ, Montroyal, Perfume Price, Prestige Fragrances",58,64.41
3614229833812,"TIFFANY & CO Tiffany Rose Gold  Wom EDP (75ml)",N/A,7,"BS, CBS, Classic, Fragrance Depot, Montroyal, PWW, Perfume Plus",50.25,59.45
3432240506641,"Cartier La Panthere Edp Spray 100 ml",N/A,7,"BS, Cosmo, Fragrance Depot, MTZ, Montroyal, PWW, Perfume Center",67.75,75.65
8435415050760,"J.P.GAULTIER SCANDAL LE PARFUM/J.P.G. EDP SPRAY INTENSE 2.7 OZ (80 ML) (W)",N/A,7,"BS, CBS, ET, General, MTZ, Nandansons, Perfume Price",72,75.31
3614273953832,"Armani Acqua Di Gio Profondo Edp Spray 200 ml",N/A,7,"BS, CBS, Classic, Haz, Nandansons, Perfume Price, Yossi",92,98.58
856515004213,"Hummer Chrome EDT 4.2 oz Spray M",N/A,7,"ABDiversified, BS, CBS, General, PWW, Perfume Center, Perfume Price",11,12.41
6291108732489,"Lattafa Ajwad Eau de Parfum 60ml",Pacifica,7,"CBS, Gift Express, MTZ, PWW, Perfume Plus, Perfume Price, United",10.25,12.75
3614271717092,"Yves Saint Laurent Y Deodorant Stick 75g",N/A,7,"CBS, Fragrance Depot, Gift Express, MTZ, Nandansons, POTW, Perfume Price",13,13.86
3614273953696,"ACQUA DI GIO PROFONDO PARFUM 3.4OZ MEN",N/A,7,"CBS, Classic, Nandansons, PWW, Perfume Center, Perfume Price, United",68.9,81.16
3349668617067,"PACO R 1 MILLION ROYAL PARFUM 6.8oz",N/A,7,"CBS, Classic, General, Haz, Nandansons, Network, Perfume Price",82,90.52
3614273776127,"YSL LIBRE LE PARFUM ( W ) EDP SP 3.0 OZ",N/A,7,"CBS, Classic, Cosmo, Fragrance Depot, MTZ, Perfume Plus, Perfume Price",86.6,94.77
3348901321129,"DIOR SAUVAGE EDT 200ML",N/A,7,"Acme, CBS, Cosmo, ET, Perfume Plus, Perfume Price, United",112.5,125.69
888066144599,"TOM FORD CAFE ROSE 3.4 EDP W",N/A,7,"CBS, Classic, Cosmo, ET, Fragrance Depot, MTZ, PWW",97.5,122.68
3348901486385,"Dior Sauvage Parfum 100ml",N/A,7,"CBS, Classic, Cosmo, ET, Fragrance Depot, Luxury, Perfume Price",122,129.94
888874008441,"BOND NO.9 NEW YORK BEEKMAN PLACE (U) EDP 100ML",BOND NO.9,7,"CBS, Fragrance Depot, Haz, MTZ, Nandansons, PWW, Perfume Price",149.5,161.24
888874008076,"BOND #9 NEW YORK FOREVER 3.3 EDP SPR (W)",JEANNE ARTHES,7,"CBS, Classic, Haz, MTZ, Nandansons, Perfume Plus, Perfume Price",104,136.93
3700578502919,"PARFUMS DE MARLY Perseus Wom EDP (125ml)",N/A,7,"Acme, CBS, Fragrance Depot, Haz, MTZ, Perfume Price, TJS",139.7,170.87
