UPC,Item Name,Brand,Vendors,Vendor List,Min Price,Avg Price
3607345809915,"Joop Homme EDT for Men | 6.7 oz / 200 ml",Joop!,22,"TJS; Source; Nandansons; United; Mod; Heritage; Sanya; NYB; MTZ; Perfume Center; Cosmo; Haz; Montroyal; PWW; Gift Express; BS; ET; Classic; French; Aairie; Network; Perfume Price",17.5,20.24
3614227748682,"Burberry Touch EDT for Men | 3.3 oz / 100 ml - SPR",Burberry,22,"Source; Nandansons; United; Luxury; Heritage; TJS; NYB; MTZ; Fragrance Depot; Distributor; Perfume Center; Perfume Distributors; Haz; Montroyal; PWW; Perfume Price; BS; Classic; French; Fragsense; General; POTW",20.7,22.96
3614226905666,"Burberry EDP for Women | 3.3 oz / 100 ml",Burberry,22,"OniEssence; TJS; Source; Nandansons; Mod; NYB; Heritage; Aairie; MTZ; Cosmo; Haz; Montroyal; Perfume Price; ET; Premier; Classic; French; Distributor; Perfumora; General; Paris; POTW",21.7,24.89
3614229823806,"Hugo Boss Hugo EDT for Men | 4.2 oz / 125 ml",Hugo Boss,22,"Perfume Price; Source; Nandansons; United; Luxury; NYB; Heritage; Premier; Sanya; Aairie; Perfume Plus; Perfume Center; Cosmo; Haz; Montroyal; MTZ; ET; Classic; POTW; Fragsense; General; Paris",23.95,26.46
737052352060,"Hugo Boss Boss Bottled Night EDT for Men | 3.3 oz / 100 ml",Hugo Boss,22,"OniEssence; Perfume Price; United; Source; PWW; Luxury; Mod; NYB; Heritage; Sanya; Aairie; Perfume Plus; Cosmo; Haz; Montroyal; Perfume Center; Nandansons; MTZ; Acme; ET; Premier; General",24,29.49
22548366448,"MK WONDERLUST(L) 3.4OZ EDP",Estee Lauder,22,"OniEssence; TJS; United; Source; NYB; Heritage; Fragrance Depot; Distributor; Cosmo; Perfume Distributors; Montroyal; Perfume Center; Nandansons; ET; PWW; Aairie; Fragsense; Perfumora; General; Perfume Price; Classic; Paris",24,30.49
3360372013648,"RALPH LAUREN Safari EDT for Men | 4.2 oz / 125 ml",RALPH LAUREN,22,"Perfume Price; United; Source; Heritage; TJS; Perfume Plus; Mod; Cosmo; Perfume Center; Haz; Montroyal; Nandansons; PWW; MTZ; ET; Premier; French; Distributor; Aairie; POTW; General; Paris",27.5,35.07
8011003839117,"Versace Dylan Blue W 3.4 edp spr",N/A,22,"OniEssence; United; Source; Heritage; Perfume Price; Nandansons; Perfume Plus; Cosmo; Perfume Center; ET; Premier; Aairie; Gift Express; Distributor; Sanya; PWW; Fap; Perfumora; General; Classic; Paris; MTZ",40.25,43.49
8435415017206,"JPG LE BEAU 4.2 EDT M  (ONLY WITH PURCHASE OF RM)",N/A,22,"Perfume Price; MTZ; NYB; Heritage; Montroyal; TJS; Beauty Encounter; Nandansons; Fragrance Depot; Perfume Plus; Classic; PWW; Awesome; Perfume Center; Gift Express; ET; Premier; Distributor; POTW; Mod; United; Haz",64.25,72.65
3348900012219,"Christian Dior Fahrenheit EDT for Men | 3.4 oz / 100 ml - SPR",Christian Dior,22,"Perfume Price; MTZ; NYB; United; Luxury; Montroyal; TJS; Beauty Encounter; Nandansons; Perfume Plus; Classic; Perfume Center; PWW; ET; Premier; Aairie; POTW; General; Paris; Haz; Network; Gift Express",73.5,79.33
3661163904016,"Nautica EDT for Men | 3.4 oz / 100 ml",Nautica,21,"TJS; Source; Nandansons; Mod; Perfume Center; PWW; Cosmo; NYB; Perfume Price; Haz; Paris; Montroyal; BS; ET; Elegance; Classic; Gift Express; French; United; Heritage; Network",7,9.74
31655531908,"Nautica Voyage EDT for Men | 3.4 oz / 100 ml",N/A,21,"Source; Mod; Nandansons; Heritage; TJS; Cosmo; NYB; Perfume Price; MTZ; Haz; Paris; Montroyal; BS; Elegance; Classic; French; ET; Aairie; United; Network; Gift Express",9.4,10.94
